"","lakeID","dateSample","count","uniqueID","avgWeight.mg","abundance.m2","g.m2"
"42","WL","8/1/12",63,"WL.8/1/12",6.86113883466571,1726.73701521173,11.847382392324
"43","WL","8/8/12",45,"WL.8/8/12",14.1352065592335,1233.38358229409,17.4341317024944
"44","WL","6/27/12",278,"WL.6/27/12",7.21203736383509,7619.5696861724,54.9526212730206
"45","WL","5/16/12",82,"WL.5/16/12",8.57174337819047,2247.49897218035,19.2649844322768
"46","WL","5/22/12",43,"WL.5/22/12",8.57174337819047,1178.56653419213,10.1023698852183
"47","WL","5/30/12",194,"WL.5/30/12",8.57174337819047,5317.25366589009,45.5781339007524
"48","WL","6/6/12",7,"WL.6/6/12",8.57174337819047,191.859668356859,1.64457184177973
"49","WL","6/13/12",223,"WL.6/13/12",6.55579722863535,6112.10086336851,40.069693901211
"50","WL","6/20/12",63,"WL.6/20/12",8.73111894826638,1726.73701521173,15.0763462721881
"82","WL","5/22/13",152,"WL.5/22/13",6.00665327507753,4166.09565574894,25.0242921148906
"83","EL","5/22/13",36,"EL.5/22/13",5.96160021309181,986.706865835275,5.88235186162273
"107","EL","5/29/13",27,"EL.5/29/13",6.70593189936781,740.030149376456,4.9625917851975
"108","WL","5/29/13",125,"WL.5/29/13",6.44706407700479,3426.06550637248,22.0880638515993
"117","EL","6/5/13",16,"EL.6/5/13",5.00224497707529,438.536384815678,2.19366642820898
"118","WL","6/12/13",18,"WL.6/12/13",6.56832970002546,493.353432917637,3.24050800604244
"119","EL","6/19/13",14,"EL.6/19/13",0.738927210204593,383.719336713718,0.283540658979425
"120","WL","6/19/13",16,"WL.6/19/13",11.6178542463785,438.536384815678,5.09485180052228
"177","WL","6/26/13",12,"WL.6/26/13",10.7199240929384,328.902288611758,3.52580756791178
"207","EL","7/10/13",8,"EL.7/10/13",17.2616581923621,219.268192407839,3.7849325898012
"208","WL","7/3/13",0,"WL.7/3/13",7.99448993575914,0,0
"212","EL","7/3/13",4,"EL.7/3/13",8.76998740030413,109.634096203919,0.961489642352105
"223","EL","8/16/13",14,"EL.8/16/13",2.52947978074464,383.719336713718,0.970610303698093
"224","WL","8/16/13",36,"WL.8/16/13",2.89710027621984,986.706865835275,2.85858873355938
"249","EL","6/26/13",15,"EL.6/26/13",18.0370891260223,411.127860764698,7.41554986680372
"250","WL","7/25/13",16,"WL.7/25/13",11.2448589717255,438.536384815678,4.93127980122264
"251","WL","7/10/13",21,"WL.7/10/13",9.33209630117205,575.579005070577,5.37135870425142
"252","EL","7/25/13",10,"EL.7/25/13",12.2266138231252,274.085240509799,3.35113439033169
"253","EL","7/17/13",11,"EL.7/17/13",14.3687252936043,301.493764560778,4.33208108070844
"254","WL","7/17/13",30,"WL.7/17/13",10.2178398927643,822.255721529396,8.40167731349672
"255","EL","7/31/13",26,"EL.7/31/13",4.86760348744335,712.621625325476,3.46875950866184
"256","WL","7/31/13",46,"WL.7/31/13",4.89317852428508,1260.79210634507,6.16928085835587
"181","EL","7/3/14",19,"EL.7/3/14",4.60617199228504,520.761956968617,2.39871914083639
"271","WL","7/3/14",22,"WL.7/3/14",7.43594748722707,602.987529121557,4.4837836020007
"72","EL","7/23/14",57,"EL.7/23/14",2.51266787770397,1562.28587090585,3.92550552361591
"81","WL","7/23/14",37,"WL.7/23/14",12.1692781191495,1014.11538988625,12.3410522244356
"90","WL","7/16/14",14,"WL.7/16/14",13.4017831831642,383.719336713718,5.14252335382482
"99","EL","7/16/14",18,"EL.7/16/14",4.37763562465331,493.353432917637,2.15972156348526
"1171","EL","7/9/14",6,"EL.7/9/14",4.60617199228504,164.451144305879,0.757490255000967
"144","WL","7/9/14",14,"WL.7/9/14",1.96257129051518,383.719336713718,0.753076553849869
"198","EL","7/2/14",46,"EL.7/2/14",4.60617199228504,1260.79210634507,5.80742528834074
"2071","WL","7/2/14",32,"WL.7/2/14",1.86827790925882,877.072769631355,1.63861568031471
"225","WL","6/4/14",26,"WL.6/4/14",7.41082050186739,712.621625325476,5.2811109510361
"234","WL","5/14/14",39,"WL.5/14/14",1.7706462291412,1068.93243798821,1.89270119053054
"243","EL","5/14/14",24,"EL.5/14/14",1.84943023714775,657.804577223517,1.21656367525137
"261","EL","6/4/14",22,"EL.6/4/14",4.29126510390281,602.987529121557,2.58757934180791
"360","WL","6/11/14",7,"WL.6/11/14",9.91848615689442,191.859668356859,1.90295746466386
"378","EL","6/11/14",34,"EL.6/11/14",4.83350455708541,931.889817733315,4.50429368071547
"387","WL","6/25/14",12,"WL.6/25/14",7.43594748722707,328.902288611758,2.44570014654584
"414","EL","6/25/14",35,"EL.6/25/14",5.96638875116201,959.298341784295,5.72354683543019
"441","EL","7/30/14",18,"EL.7/30/14",5.66924937471014,493.353432917637,2.79694364107942
"495","WL","7/30/14",20,"WL.7/30/14",9.26764027714751,548.170481019597,5.08024682864054
"522","EL","8/6/14",47,"EL.8/6/14",7.34923441191494,1288.20063039605,9.4672884023572
"531","WL","8/6/14",36,"WL.8/6/14",9.15402371790537,986.706865835275,9.03233805247618
